Id,Expected
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,0
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,1
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,0
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,1
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,1
628,1
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,1
651,1
652,1
653,0
654,0
655,1
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,0
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,1
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,0
710,0
711,0
712,1
713,0
714,1
715,0
716,1
717,0
718,1
719,1
720,0
721,1
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,1
752,1
753,1
754,1
755,1
756,0
757,0
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,0
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,1
780,1
781,0
782,1
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,1
793,0
794,1
795,1
796,1
797,0
798,1
799,0
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,0
810,1
811,0
